GrammyAward,GrammyYear,Genre,Name,Artist
Best Traditional R&B Performance,2014,R&B,Jesus Children,"Lalah Hathaway, Robert Glasper Experiment (Casey Benjamin, Mark Colenburg, Robert Glasper & Derrick Hodge) & Malcolm-Jamal Warner, Artists"
Best R&B Song,2014,R&B,Drunk in Love,
Best Rap Performance,2014,Rap,i,Kendrick Lamar
Best Rap Song,2014,Rap,i,Kendrick Lamar
Best Country Solo Performance,2014,Country,Something in the Water,"Carrie Underwood, Artist"
Best Country Duo/Group Performance,2014,Country,Gentle on My Mind,"The Band Perry (Kimberly Perry, Neil Perry & Reid Perry), Artists"
Best Country Song,2014,Country,I'm not Gonna Miss you,Glen Campbell
Best Improvised Jazz Solo,2014,Jazz,Fingerprints,"Chick Corea, Soloist"
Best Gospel Performance/Song,2014,Gospel/Contemporary Christian Music,No Greater Love,Smokie Norful
Best Contemporary Christian Music Performance/Song,2014,Gospel/Contemporary Christian Music,Messengers,Lecrae Featuring for King & Country
Best American Roots Performance,2014,American Roots Music,a Feather's not a Bird,"Rosanne Cash, Artist"
Best American Roots Song,2014,American Roots Music,a Feather's not a Bird,
Best Song Written For Visual Media,2014,Composing/Arranging,Let it Go,Idina Menzel
Record Of The Year,2013,General,Get Lucky,Daft punkÂ featuring Pharrell Williams & Nile Rodgers
Song Of The Year,2013,General,Royals,
Best Pop Solo Performance,2013,Pop,Royals,Lorde
Best Pop Duo/Group Performance,2013,Pop,Get Lucky,Daft punkÂ featuring Pharrell Williams & Nile Rodgers
Best Dance Recording,2013,Dance/Electronic Music,Clarity,Zedd Featuring Foxes
Best Rock Performance,2013,Rock,Radioactive,Imagine Dragons
Best Metal Performance,2013,Rock,God is Dead?,Black Sabbath
Best Rock Song,2013,Rock,Cut Me some Slack,
Best R&B Performance,2013,R&B,Something,Snarky Puppy with Lalah Hathaway
Best Traditional R&B Performance,2013,R&B,Please Come Home,Gary Clark Jr
Best R&B Song,2013,R&B,Pusher Love Girl,
Best Rap Performance,2013,Rap,Thrift Shop,Macklemore & Ryan lewisÂ featuring Wanz
Best Rap Song,2013,Rap,Thrift Shop,
Best Country Solo Performance,2013,Country,Wagon Wheel,Darius Rucker
Best Country Duo/Group Performance,2013,Country,From this Valley,The Civil Wars
Best Country Song,2013,Country,Merry Go 'Round,
Best Improvised Jazz Solo,2013,Jazz,Orbits,"Wayne Shorter, Soloist"
Best American Roots Song,2013,American Roots Music,Love Has Come for you,
Best Song Written For Visual Media,2013,Composing/Arranging,Skyfall,
Record Of The Year,2012,General,Somebody that i Used to Know,Gotye Featuring Kimbra
Song Of The Year,2012,General,We are Young,Fun Featuring Janelle MonÃ¡e
Best Pop Solo Performance,2012,Pop,Set Fire to the Rain [live],Adele
Best Pop Duo/Group Performance,2012,Pop,Somebody that i Used to Know,Gotye Featuring Kimbra
Best Dance Recording,2012,Dance/Electronic Music,Bangarang,skrillexÂ featuring Sirah
Best Rock Performance,2012,Rock,Lonely Boy,The Black Keys
Best Rock Song,2012,Rock,Lonely Boy,The Black Keys
Best R&B Performance,2012,R&B,Climax,Usher
Best Traditional R&B Performance,2012,R&B,Love on Top,beyoncÃ©
Best R&B Song,2012,R&B,Adorn,Miguel
Best Rap Performance,2012,Rap,N****s in Paris,Jay-z & Kanye West
Best Rap Song,2012,Rap,N****s in Paris,"Wa. Donaldson, Songwriter) (Jay-z & Kanye West"
Best Country Solo Performance,2012,Country,Blown Away,Carrie Underwood
Best Country Duo/Group Performance,2012,Country,Pontoon,Little Big Town
Best Country Song,2012,Country,Blown Away,Carrie Underwood
Best Improvised Jazz Solo,2012,Jazz,Hot House,"Chick Corea, Soloists"
Best Song Written For Visual Media,2012,Composing/Arranging,Safe & Sound (from the Hunger Games),
Record Of The Year,2011,General,Rolling in the Deep,Adele
Song Of The Year,2011,General,Rolling in the Deep,Adele
Best Pop Solo Performance,2011,Pop,Someone Like you,Adele
Best Pop Duo/Group Performance,2011,Pop,Body and Soul,Tony Bennett & Amy Winehouse
Best Dance Recording,2011,Dance/Electronic Music,Scary Monsters and Nice Sprites,Skrillex
Best Rock Performance,2011,Rock,Walk,Foo Fighters
Best Rock Song,2011,Rock,Walk,Foo Fighters
Best R&B Performance,2011,R&B,Is this Love,Corinne Bailey Rae
Best Traditional R&B Performance,2011,R&B,Fool for you,Cee Lo Green & Melanie Fiona
Best R&B Song,2011,R&B,Fool for you,Cee Lo Green & Melanie Fiona
Best Rap Performance,2011,Rap,Otis,Jay-z & Kanye West
Best Rap Song,2011,Rap,all of the Lights,"Kanye West, Rihanna, Kid Cudi & Fergie"
Best Country Solo Performance,2011,Country,Mean,Taylor Swift
Best Country Duo/Group Performance,2011,Country,Barton Hollow,The Civil Wars
Best Country Song,2011,Country,Mean,Taylor Swift
Best Improvised Jazz Solo,2011,Jazz,500 Miles High,"Chick Corea, Soloist"
Best Song Written For Visual Media,2011,Composing/Arranging,i See the Light (from Tangled),Mandy Moore & Zachary Levi
Record Of The Year,2010,General,Need you Now,Lady Antebellum
Song Of The Year,2010,General,Need you Now,Lady Antebellum
Best Female Pop Vocal Performance,2010,Pop,Bad Romance,Lady Gaga
Best Male Pop Vocal Performance,2010,Pop,Just the Way you are,Bruno Mars
Best Pop Performance By A Duo Or Group With Vocals,2010,Pop,"Hey, Soul Sister (Live)",Train
Best Pop Collaboration With Vocals,2010,Pop,Imagine,"Herbie Hancock, Pink, Indiaarie, Seal, Konono No 1, Jeff Beck & Oumou Sangare"
Best Dance Recording,2010,Dance/Electronic Music,Only Girl (in the World),Rihanna
Best Hard Rock Performance,2010,Rock,New Fang,Them Crooked Vultures
Best Metal Performance,2010,Rock,El Dorado,Iron Maiden
Best Rock Song,2010,Rock,Angry World,Neil Young
Best Female R&B Vocal Performance,2010,R&B,Bittersweet,Fantasia
Best Male R&B Vocal Performance,2010,R&B,There Goes My Baby,Usher
